            "symptom_text","severity","additional_symptoms","specialization"
"post nasal drip and cough on and off for weeks","medium","throat irritation","ENT"
"joint pain in multiple joints for ten days","medium","stiffness swelling","Orthopedics"
"slight eye strain for a week","low","none","Ophthalmology"
"cataracts cloudy vision for two weeks","medium","glare sensitivity","Ophthalmology"
"baby with diaper rash since yesterday","medium","redness","Pediatrics"
"dry itchy patches of skin for two days","medium","flaking","Dermatology"
"slight ear itching for a day","low","none","ENT"
"occasional chest discomfort after eating for a month","low","bloating","Cardiology"
"acne breakouts on face since yesterday","medium","oily skin","Dermatology"
"slight cold for a few hours","low","none","General Physician"
"dehydration and weakness for a week","medium","dizziness","General Physician"
"chronic sinusitis for two weeks","medium","nasal discharge headache","ENT"
"heart palpitations and racing heartbeat for two weeks","medium","anxiety sweating","Cardiology"
"snoring and sleep apnea off and on for months","medium","daytime sleepiness","ENT"
"mild hoarse voice","low","none","ENT"
"headache three out of ten for a few hours","low","none","Neurology"
"sudden blurry vision for about a week","medium","headache","Ophthalmology"
"skin allergy with swelling for two days","medium","redness itching","Dermatology"
"tonsillitis with white spots on throat since this morning","medium","fever swallowyesing pain","ENT"
"slight itchy skin patch for several days","low","none","Dermatology"
"painful skin infection with pus since yesterday","high","fever swelling","Dermatology"
"crushing chest pain for a month","high","nausea vomiting sweating","Cardiology"
"constipation and bloating for a week","medium","abdominal discomfort","Gastroenterology"
"mild indigestion after heavy meal","low","none","Gastroenterology"
"minor trouble relaxing","low","none","Psychiatry"
"constant knee pain when climbing stairs for several days","medium","swelling stiffness","Orthopedics"
"rapid heartbeat and fluttering for ten days","medium","dizziness sweating","Cardiology"
"low grade fever for a few hours","medium","headache fatigue","General Physician"
"chest pain radiating to jaw and shoulder","high","sweating dizziness","Cardiology"
"slight sneezing and stuffy nose","low","none","General Physician"
"occasional occasional headache since this morning","low","none","Neurology"
"bothering lower back pain for a day","medium","stiffness","Orthopedics"
"persistent headache for a week","medium","nausea sensitivity to light","Neurology"
"sudden sharp stomach pain for about a week","high","vomiting sweating","Gastroenterology"
"dislocated shoulder intense pain","high","swelling numbness","Orthopedics"
"blurry vision for a few hours","medium","headache eye strain","Ophthalmology"
"mild sneezing for three days","low","none","ENT"
"irritable bowel alternating diarrhea constipation for a week","medium","bloating","Gastroenterology"
"voice hoarseness for a day","medium","sore throat","ENT"
"sinus pressure behind eyes for about a week","medium","headache nasal congestion","ENT"
"child bedwetting for two days","medium","none","Pediatrics"
"stye red bump on eyelid on and off for weeks","medium","pain tearing","Ophthalmology"
"swollen eyelid with pain for three days","medium","redness","Ophthalmology"
"arthritis pain and stiffness for two days","medium","joint swelling","Orthopedics"
"high blood pressure and dizziness since yesterday","medium","headache fatigue","Cardiology"
"knee swelling after running for three days","medium","pain stiffness","Orthopedics"
"headache and fever since yesterday","medium","body ache","General Physician"
"baby with diaper rash for a day","medium","redness","Pediatrics"
"sudden blurry vision for two days","medium","headache","Ophthalmology"
"chest pain when climbing stairs since this morning","medium","breathlessness fatigue","Cardiology"
"joint pain in multiple joints for two days","medium","stiffness swelling","Orthopedics"
"bothering shoulder pain lifting arm for three days","medium","stiffness weakness","Orthopedics"
"newborn refusing feeds and very sleepy","high","yellow skin","Pediatrics"
"child vomiting after eating for a day","medium","stomach pain","Pediatrics"
"occasional blurred vision when tired","low","none","Ophthalmology"
"severe hip pain cannot walk off and on for months","high","stiffness weakness","Orthopedics"
"ear infection and pus discharge for two weeks","medium","fever pain","ENT"
"severe flu unable to get out of bed on and off for weeks","high","fever cough body ache","General Physician"
"a little headache for a week","low","none","Neurology"
"throbbing headache behind the eyes on and off for weeks","medium","nausea sensitivity to light","Neurology"
"shortness of breath on exertion for three days","medium","fatigue ankle swelling","Cardiology"
"mild loose motion for a day","low","none","Gastroenterology"
"a little bloating after eating","low","none","Gastroenterology"
"brief chest twinge for two days","low","none","Cardiology"
"occasional headache for three days","low","none","Neurology"
"tennis elbow pain for a week","medium","weakness in grip","Orthopedics"
"hearing voices and hallucinations for ten days","high","paranoia","Psychiatry"
"a little blocked nose recently","low","none","ENT"
"psoriasis patches on elbows for two weeks","medium","itching flaking","Dermatology"
"blurry vision for three days","medium","headache eye strain","Ophthalmology"
"child with fever and cough recently","medium","runny nose body ache","Pediatrics"
"vomiting blood repeatedly for two days","high","weakness dizziness","Gastroenterology"
"occasional redness in eyes after screens","low","none","Ophthalmology"
"vomiting blood repeatedly for a day","high","weakness dizziness","Gastroenterology"
"severe back pain cannot move for two weeks","high","muscle spasm stiffness","Orthopedics"
"slow heart rate and fainting spells since this morning","medium","weakness","Cardiology"
"swollen ankles and breathlessness for a week","medium","fatigue weight gain","Cardiology"
"kid frequent colds and cough","medium","runny nose","Pediatrics"
"sciatica shooting pain down leg on and off for weeks","medium","numbness tingling","Orthopedics"
"occasional nervous feeling before exams","low","none","Psychiatry"
"ongoing headache for several days","medium","nausea sensitivity to light","Neurology"
"numbness in face and arm for a week","high","slurred speech weakness","Neurology"
"ongoing stomach pain since yesterday","medium","nausea","Gastroenterology"
"chest pain radiating to jaw and shoulder","high","sweating dizziness","Cardiology"
"bloating and gas after meals off and on for months","medium","burping","Gastroenterology"
"throbbing headache behind the eyes for two weeks","medium","nausea sensitivity to light","Neurology"
"slight stomach ache for a day","low","none","Gastroenterology"
"difficulty reading close up since yesterday","medium","eye fatigue","Ophthalmology"
"unbearable knee pain after fall","high","swelling bruising","Orthopedics"
"severe rash spreading all over body for a day","high","fever itching","Dermatology"
"strep throat with fever for ten days","medium","painful swallowing","ENT"
"high blood pressure and dizziness for a month","medium","headache fatigue","Cardiology"
"light sensitivity and pain for a week","medium","watering","Ophthalmology"
"ringing in ears tinnitus for several days","medium","dizziness","ENT"
"viral infection fever and chills for two weeks","medium","body ache","General Physician"
"rare mild migraine for a week","low","slight nausea","Neurology"
"occasional sore throat for several days","low","none","General Physician"
"rapid heartbeat and fluttering for a week","medium","dizziness sweating","Cardiology"
"tremor and loss of balance on and off for weeks","high","weakness","Neurology"
"frequent headaches recently","medium","nausea fatigue","Neurology"
"baby with diaper rash for about a week","medium","redness","Pediatrics"
"suicidal thoughts and hopelessness on and off for weeks","high","insomnia appetite loss","Psychiatry"
"eye strain from screens for several days","medium","headache dryness","Ophthalmology"
"mild cough for two weeks","low","none","General Physician"
"slight blocked nose for ten days","low","none","ENT"
"thunderclap headache off and on for months","high","neck stiffness confusion","Neurology"
"moderate back ache after lifting heavy things","medium","muscle soreness","Orthopedics"
